MATERIAL,CENTRO,QTD
0458-0008-1,1124,1
0256-0230-6,2046,1
0256-0239-0,1124,1
0056-0003-0,1124,1
0256-0154-7,1124,1
0256-0154-7,1520,1
0387-0033-6,2046,1
0386-1249-6,1124,1
0319-0084-4,1519,1
0386-1115-5,1124,1
0258-0140-6,1520,1
0358-0023-2,1519,1
0387-0037-9,1520,1
0387-0037-9,2046,1
0452-0049-1,1124,1
0452-0004-1,1124,1
0452-0047-5,1124,1
0452-0046-7,1124,1
0452-0015-7,1124,1
0452-0061-0,1124,1
0452-0090-4,1520,1
0452-0090-4,2046,1
0452-0093-9,1124,1
0452-0094-7,1124,1
0252-0130-1,1857,1
0252-0015-1,1124,1
0252-0015-1,1124,1
0252-0019-4,1520,1
0252-0020-8,1124,1
0252-0022-4,1124,1
0252-0024-0,1124,1
0252-0026-7,1857,1
0252-0033-0,1520,1
8252-0007-5,1857,1
0155-0005-5,2046,1
0186-0004-2,1124,1
0186-0007-7,1124,1
0186-0010-7,1124,1
0186-0035-2,1124,1
0186-0041-7,1124,1
0452-0107-2,1124,1
0452-0108-0,1124,1
0387-0141-3,2046,1
0260-0111-0,2066,1
0060-0004-5,1520,1
0380-8934-3,2046,1
0260-0044-0,1519,1
0260-0030-0,1124,1
0260-0030-0,1519,1
0456-0018-0,1124,1
0260-0122-5,1520,1
0260-0225-6,1520,1
0260-0217-5,1520,1
0260-0218-3,1520,1
0460-0009-7,1124,1
0192-0218-0,1124,1
0260-0213-2,1520,1
0260-0093-8,1124,1
0260-0041-5,1857,1
0460-0021-6,1124,1
0460-0017-8,1124,1
0460-0012-7,1124,1
0460-0014-3,1124,1
0460-0011-9,1124,1
0460-0013-5,1124,1
0460-0015-1,1124,1
0460-0022-4,1124,1
0460-0023-2,1124,1
0260-0034-2,1124,1
0260-0033-4,1124,1
0260-0032-6,1124,1
0260-0043-1,1124,1
0452-0085-8,2046,1
0223-0004-0,1857,1
0380-8935-1,1124,1
0380-8805-3,1124,1
0380-8805-3,1124,1
0099-0070-5,2046,1
0256-0062-1,1124,1
0186-0022-0,1124,1
0186-0023-9,1124,1
0186-0021-2,1124,1
0260-0202-7,1124,1
0260-0202-7,1519,1
0260-0205-1,1519,1
0260-0203-5,1520,1
0186-0008-5,1124,1
0380-8798-7,1520,1
0380-8798-7,2046,1
0186-0027-1,2046,1
0186-0028-0,2046,1
0186-0029-8,1520,1
0186-0029-8,2046,1
0486-0053-9,1520,1
0486-0053-9,2046,1
0186-0026-3,2046,1
0256-0181-4,1124,1
0256-0181-4,1520,1
0256-0182-2,1519,1
0392-1071-5,2046,1
0099-0100-0,2046,1
0099-0099-3,2046,1
0319-0011-9,1519,1
0219-0028-0,1124,1
0219-0028-0,1520,1
0251-0001-7,1519,1
0251-0001-7,1520,1
0251-0001-7,1857,1
0251-0001-7,2066,1
0251-0009-2,1857,1
0351-0021-4,1124,1
0351-0021-4,1520,1
0351-0019-2,1124,1
0351-0019-2,1519,1
0351-0019-2,1520,1
0351-0024-9,1519,1
0351-0024-9,2066,1
0056-0002-2,1520,1
0056-0002-2,2046,1
0460-0043-7,1124,1
0219-0022-1,1124,1
0460-0036-4,1124,1
0460-0035-6,1124,1
0460-0034-8,1124,1
0460-0039-9,1520,1
0460-0039-9,2046,1
0192-0249-0,2046,1
0192-0371-8,2046,1
0192-0373-0,2046,1
0192-0374-9,2046,1
0256-0240-3,1124,1
0256-0234-9,1124,1
0256-0092-3,1124,1
0256-0092-3,1519,1
0256-0092-3,1520,1
0256-0091-5,1519,1
0256-0231-4,1519,1
0256-0231-4,1520,1
0387-0040-9,2046,1
0387-0049-2,2046,1
0387-0049-2,5041,1
0087-0010-9,2046,1
0260-0058-0,1519,1
0260-0193-4,1124,1
0260-0193-4,1519,1
0192-0278-4,2046,1
8097-0022-0,1857,1
0192-0372-4,2046,1
0192-0348-9,2046,1
0192-0375-7,2046,1
0192-0378-4,2046,1
0192-0345-4,2046,1
0192-0377-3,2046,1
0358-0077-1,1519,1
0386-0549-0,1124,1
0192-0232-6,2046,1
0258-0163-5,1520,1
0041-0050-6,2046,1
0260-0095-4,1124,1
0192-0376-2,2046,1
0192-0346-2,2046,1
0387-0056-5,2150,1
0387-0144-8,2046,1
0106-1286-6,2046,1
0387-0170-7,2046,1
0387-0170-7,5041,1
0387-0169-3,2046,1
0387-0169-3,5041,1
0106-1285-8,2046,1
0106-1285-8,5041,1
0387-0150-2,2046,1
0387-0150-2,2150,1
0387-0042-5,2046,1
0387-0043-3,2046,1
0192-0016-1,2046,1
0192-0220-2,1124,1
0192-0215-6,1124,1
0192-0221-0,1124,1
0192-0216-4,1124,1
0192-0219-9,1124,1
0392-1051-0,2046,1
0387-0066-2,2046,1
0386-0548-1,1124,1
0319-0288-0,2066,1
0256-0046-0,1124,1
0260-0209-4,1519,1
0230-0031-7,1124,1
0391-0526-1,2046,1
0130-0005-5,2046,1
